date,presentprice,open,highprice,lowprice,change%
20170102,"1,203.93","1,205.85","1,210.70","1,202.19",-0.28
20161230,"1,207.26","1,205.39","1,208.29","1,199.73",0.07
20161229,"1,206.39","1,210.93","1,212.42","1,204.59",-0.46
20161228,"1,211.93","1,206.67","1,215.11","1,204.60",0.35
20161227,"1,207.67","1,199.35","1,209.48","1,198.89",0.56
20161226,"1,200.99","1,199.35","1,202.72","1,197.04",0.05
20161223,"1,200.36","1,204.25","1,206.11","1,198.90",-0.41
20161222,"1,205.26","1,193.19","1,207.76","1,192.59",0.93
20161221,"1,194.19","1,191.21","1,198.26","1,190.75",0.17
20161220,"1,192.21","1,186.69","1,196.56","1,186.55",0.34
20161219,"1,188.14","1,185.44","1,191.98","1,182.71",0.13
20161216,"1,186.58","1,182.39","1,189.38","1,180.15",0.27
20161215,"1,183.39","1,178.72","1,187.89","1,176.55",0.31
20161214,"1,179.72","1,163.30","1,180.90","1,162.18",1.32
20161213,"1,164.30","1,163.73","1,169.70","1,161.35",-0.04
20161212,"1,164.73","1,171.91","1,174.90","1,161.69",-0.7
20161209,"1,172.89","1,161.37","1,175.06","1,161.37",0.87
20161208,"1,162.79","1,157.27","1,166.43","1,155.79",0.39
20161207,"1,158.28","1,170.53","1,173.40","1,156.89",-1.13
20161206,"1,171.54","1,166.15","1,173.40","1,165.38",0.38
20161205,"1,167.15","1,171.70","1,176.63","1,165.17",-0.01
20161202,"1,167.32","1,166.73","1,175.21","1,163.69",-0.04
20161201,"1,167.73","1,176.39","1,179.78","1,165.69",-0.85
20161130,"1,177.80","1,166.75","1,179.45","1,165.25",0.86
20161129,"1,167.76","1,170.89","1,175.06","1,165.73",-0.35
20161128,"1,171.89","1,174.69","1,176.84","1,167.06",-0.33
20161125,"1,175.77","1,181.14","1,183.70","1,173.51",-0.54
20161124,"1,182.14","1,180.49","1,185.51","1,176.25",0.02
20161123,"1,181.89","1,169.07","1,186.11","1,167.65",1.01
20161122,"1,170.08","1,179.19","1,181.02","1,168.49",-0.86
20161121,"1,180.19","1,180.08","1,187.81","1,175.08",-0.08
20161118,"1,181.08","1,179.01","1,186.89","1,172.90",0.09
20161117,"1,180.02","1,169.69","1,181.19","1,167.48",0.8
20161116,"1,170.69","1,166.63","1,178.10","1,163.75",0.26
20161115,"1,167.63","1,167.91","1,173.31","1,162.67",-0.11
20161114,"1,168.91","1,164.40","1,176.91","1,164.39",0.29
20161111,"1,165.58","1,165.39","1,171.77","1,159.07",-0.07
20161110,"1,166.39","1,156.49","1,168.07","1,145.60",0.73
20161109,"1,157.89","1,127.93","1,159.01","1,127.61",2.57
20161108,"1,128.93","1,140.67","1,142.51","1,127.05",-1.12
20161107,"1,141.67","1,140.45","1,145.29","1,137.40",0.02
20161104,"1,141.45","1,143.47","1,147.20","1,138.18",-0.26
20161103,"1,144.47","1,144.05","1,146.53","1,135.55",-0.05
20161102,"1,145.06","1,144.85","1,153.01","1,140.95",-0.07
20161101,"1,145.85","1,141.73","1,148.34","1,138.10",0.27
20161031,"1,142.73","1,146.26","1,149.81","1,139.42",-0.4
20161028,"1,147.32","1,146.41","1,149.94","1,142.51",-0.01
20161027,"1,147.41","1,137.75","1,149.05","1,135.90",0.76
20161026,"1,138.76","1,129.23","1,139.23","1,127.82",0.75
20161025,"1,130.23","1,134.59","1,140.40","1,128.79",-0.47
20161024,"1,135.59","1,135.15","1,138.01","1,128.67",-0.06
20161021,"1,136.22","1,130.13","1,140.80","1,128.59",0.45
20161020,"1,131.14","1,119.35","1,132.38","1,117.69",0.96
20161019,"1,120.36","1,124.13","1,126.43","1,118.94",-0.42
20161018,"1,125.14","1,135.55","1,137.47","1,123.03",-1
20161017,"1,136.55","1,135.60","1,144.51","1,134.90",0.01
20161014,"1,136.41","1,128.69","1,137.51","1,127.69",0.59
20161013,"1,129.70","1,124.51","1,138.61","1,123.29",0.37
20161012,"1,125.51","1,123.99","1,129.39","1,120.49",0.05
20161011,"1,124.99","1,107.63","1,127.26","1,106.49",1.47
20161010,"1,108.64","1,114.80","1,117.26","1,106.49",-0.64
20161007,"1,115.76","1,114.35","1,118.70","1,109.51",0.04
20161006,"1,115.36","1,114.01","1,118.82","1,108.68",0.03
20161005,"1,115.01","1,115.57","1,117.91","1,110.55",-0.14
20161004,"1,116.57","1,103.13","1,117.80","1,101.15",1.13
20161003,"1,104.14","1,100.80","1,105.80","1,098.33",0.2
20160930,"1,101.91","1,101.67","1,106.97","1,096.87",-0.07
20160929,"1,102.68","1,091.29","1,105.36","1,090.60",0.92
20160928,"1,092.60","1,095.93","1,100.08","1,091.20",-0.39
20160927,"1,096.93","1,107.91","1,113.91","1,093.15",-1.08
20160926,"1,108.91","1,103.35","1,110.88","1,101.59",0.44
20160923,"1,104.01","1,102.33","1,107.61","1,098.47",0.06
20160922,"1,103.34","1,102.83","1,107.01","1,096.07",-0.05
20160921,"1,103.84","1,116.19","1,123.61","1,101.25",-1.2
20160920,"1,117.20","1,118.45","1,122.20","1,115.59",-0.2
20160919,"1,119.45","1,124.89","1,126.40","1,115.77",-0.59
20160916,"1,126.05","1,123.89","1,128.70","1,118.67",0.1
20160915,"1,124.89","1,125.57","1,134.36","1,121.59",-0.15
20160914,"1,126.57","1,127.15","1,129.78","1,122.06",-0.14
20160913,"1,128.16","1,106.67","1,130.14","1,106.30",1.85
20160912,"1,107.68","1,108.90","1,118.49","1,105.99",-0.09
20160909,"1,108.73","1,097.63","1,109.50","1,095.87",0.92
20160908,"1,098.63","1,089.70","1,099.05","1,087.45",0.73
20160907,"1,090.70","1,093.63","1,097.10","1,085.71",-0.36
20160906,"1,094.64","1,103.55","1,108.80","1,092.85",-0.9
20160905,"1,104.55","1,115.69","1,117.36","1,102.57",-1.07
20160902,"1,116.45","1,117.09","1,120.61","1,107.44",-0.15
20160901,"1,118.09","1,115.29","1,124.72","1,113.42",0.16
20160831,"1,116.30","1,119.23","1,121.70","1,112.55",-0.35
20160830,"1,120.24","1,119.08","1,121.59","1,112.41",0.01
20160829,"1,120.08","1,122.05","1,129.30","1,119.01",-0.22
20160826,"1,122.51","1,114.81","1,124.01","1,106.45",0.6
20160825,"1,115.82","1,120.39","1,124.61","1,113.85",-0.5
20160824,"1,121.39","1,119.58","1,125.50","1,117.33",0.07
20160823,"1,120.58","1,122.73","1,123.88","1,113.79",-0.28
20160822,"1,123.74","1,115.65","1,129.61","1,114.49",0.73
20160819,"1,115.57","1,107.13","1,123.54","1,106.31",0.67
20160818,"1,108.14","1,107.07","1,112.59","1,102.35",0.01
20160817,"1,108.07","1,094.85","1,116.51","1,093.49",1.11
20160816,"1,095.86","1,096.91","1,099.51","1,088.60",-0.19
20160815,"1,097.91","1,102.15","1,105.28","1,095.15",-0.51
20160812,"1,103.49","1,096.49","1,107.20","1,095.79",0.51
20160811,"1,097.85","1,095.09","1,104.36","1,093.00",0.13
20160810,"1,096.44","1,101.69","1,104.50","1,091.15",-0.6
20160809,"1,103.05","1,106.55","1,111.51","1,099.59",-0.41
20160808,"1,107.55","1,114.85","1,117.80","1,105.23",-0.69
20160805,"1,115.27","1,112.59","1,116.56","1,106.89",0.12
20160804,"1,113.94","1,116.00","1,117.60","1,110.99",-0.27
20160803,"1,117.00","1,110.75","1,120.30","1,109.52",0.47
20160802,"1,111.75","1,107.09","1,113.00","1,104.89",0.3
20160801,"1,108.44","1,110.45","1,115.56","1,101.79",-0.34
20160729,"1,112.24","1,123.60","1,126.45","1,110.09",-1.1
20160728,"1,124.60","1,130.63","1,131.75","1,122.36",-0.62
20160727,"1,131.63","1,136.39","1,137.95","1,130.49",-0.54
20160726,"1,137.80","1,141.09","1,144.49","1,133.63",-0.41
20160725,"1,142.44","1,135.44","1,144.18","1,133.89",0.54
20160722,"1,136.35","1,137.01","1,140.76","1,132.21",-0.15
20160721,"1,138.01","1,141.50","1,143.50","1,133.99",-0.46
20160720,"1,143.25","1,140.29","1,144.12","1,137.52",0.17
20160719,"1,141.29","1,133.89","1,143.21","1,133.39",0.53
20160718,"1,135.24","1,136.30","1,139.92","1,133.12",-0.3
20160715,"1,138.60","1,131.19","1,139.04","1,129.49",0.53
