AGCODE	WEIGHT	PRICE	YEAR				AGCODE		AGCODE
오이	"11,506,188"	"3,887,839"	2016년11월						
감자	0	0	2017년11월						
고구마	0	0	2017년11월						
사과	0	0	2017년11월						
시금치	0	0	2017년11월						
무	0	0	2017년11월						
당근	0	0	2017년11월						
오이	0	0	2017년11월						
감자	"218,612.46"	"605,826"	2016년12월						
고구마	"177,061.50"	"157,562"	2016년12월						
사과	"30,873.20"	"44,527"	2016년12월						
시금치	39	735	2016년12월						
무	"4,810,552"	"1,006,554"	2016년12월						
당근	"100,456,376.88"	"43,954,274"	2016년12월						
오이	"12,455,788"	"4,197,038"	2016년12월						
감자	0	0	2017년12월						
고구마	0	0	2017년12월						
사과	0	0	2017년12월						
시금치	0	0	2017년12월						
무	0	0	2017년12월						
당근	0	0	2017년12월						
오이	0	0	2017년12월						
배추	"44,000"	"21,946"	2014년01월						
양배추	"36,630"	"8,624"	2014년01월						
수박	31	417	2014년01월						
양파	"501,030"	"276,529"	2014년01월						
배추	0	0	2015년01월						
양배추	0	0	2015년01월						
수박	28	80	2015년01월						
양파	0	0	2015년01월						
배추	"44,000"	"21,946"	2014년02월						
양배추	"56,070"	"13,357"	2014년02월						
수박	"11,491"	"138,155"	2014년02월						
양파	"1,070,430"	"538,989"	2014년02월						
배추	"17,000"	"8,381"	2015년02월						
양배추	"48,100"	"11,375"	2015년02월						
수박	"13,503"	"65,304"	2015년02월						
양파	0	0	2015년02월						
배추	"44,000"	"21,946"	2014년03월						
양배추	"56,156"	"13,381"	2014년03월						
수박	"21,344"	"259,852"	2014년03월						
양파	"1,180,830"	"578,408"	2014년03월						
배추	"24,000"	"12,690"	2015년03월						
양배추	"342,870"	"89,032"	2015년03월						
수박	"28,785"	"138,087"	2015년03월						
양파	"72,000"	"23,981"	2015년03월						
배추	"68,000"	"33,905"	2014년04월						
양배추	"98,961"	"29,137"	2014년04월						
수박	"21,344"	"259,852"	2014년04월						
양파	"1,503,150"	"717,211"	2014년04월						
배추	"48,000"	"25,357"	2015년04월						
양배추	"691,410"	"180,357"	2015년04월						
수박	"28,785"	"138,087"	2015년04월						
양파	"792,000"	"225,315"	2015년04월						
배추	"68,000"	"33,905"	2014년05월						
양배추	"122,961"	"34,257"	2014년05월						
수박	"21,344"	"259,852"	2014년05월						
양파	"1,618,710"	"754,334"	2014년05월						
배추	"48,000"	"25,357"	2015년05월						
양배추	"1,196,290"	"346,708"	2015년05월						
수박	"28,785"	"138,087"	2015년05월						
양파	"936,000"	"264,608"	2015년05월						
배추	"92,000"	"45,864"	2014년06월						
양배추	"194,961"	"46,858"	2014년06월						
수박	"21,344"	"259,852"	2014년06월						
양파	"1,886,775"	"890,670"	2014년06월						
배추	"301,004"	"112,885"	2015년06월						
양배추	"2,660,076"	"893,931"	2015년06월						
수박	"28,785"	"138,087"	2015년06월						
양파	"1,157,000"	"335,052"	2015년06월						
배추	"92,000"	"45,864"	2014년07월						
양배추	"460,161"	"103,722"	2014년07월						
수박	"24,881"	"268,142"	2014년07월						
양파	"1,898,575"	"894,219"	2014년07월						
배추	"317,174"	"125,893"	2015년07월						
양배추	"3,024,311"	"1,035,363"	2015년07월						
수박	"40,107"	"163,924"	2015년07월						
양파	"6,937,850"	"2,325,903"	2015년07월						
배추	"92,000"	"45,864"	2014년08월						
양배추	"676,146"	"167,918"	2014년08월						
수박	"39,339"	"302,194"	2014년08월						
양파	"1,898,575"	"894,219"	2014년08월						
배추	"317,174"	"125,893"	2015년08월						
양배추	"3,120,231"	"1,072,331"	2015년08월						
수박	"54,623"	"197,400"	2015년08월						
양파	"23,731,725"	"8,886,898"	2015년08월						
배추	"116,000"	"57,839"	2014년09월						
양배추	"734,466"	"184,402"	2014년09월						
수박	"51,261"	"332,813"	2014년09월						
양파	"1,970,575"	"914,975"	2014년09월						
배추	"317,174"	"125,893"	2015년09월						
양배추	"3,171,553"	"1,100,472"	2015년09월						
수박	"65,510"	"222,384"	2015년09월						
양파	"44,351,503"	"16,881,602"	2015년09월						
배추	"140,000"	"69,800"	2014년10월						
양배추	"782,466"	"193,926"	2014년10월						
수박	"72,720"	"391,931"	2014년10월						
양파	"1,994,575"	"922,120"	2014년10월						
배추	"317,174"	"125,893"	2015년10월						
양배추	"3,315,553"	"1,138,187"	2015년10월						
수박	"82,747"	"262,041"	2015년10월						
양파	"68,999,987"	"26,169,623"	2015년10월						
배추	"140,000"	"69,800"	2014년11월						
양배추	"810,914"	"229,193"	2014년11월						
수박	"72,720"	"391,931"	2014년11월						
양파	"2,042,580"	"938,437"	2014년11월						
배추	"317,174"	"125,893"	2015년11월						
양배추	"3,351,573"	"1,145,986"	2015년11월						
수박	"82,747"	"262,041"	2015년11월						
양파	"100,749,119"	"38,627,401"	2015년11월						
배추	"188,360"	"93,968"	2014년12월						
양배추	"858,914"	"240,158"	2014년12월						
수박	"72,720"	"391,931"	2014년12월						
양파	"2,042,580"	"938,437"	2014년12월						
배추	"317,174"	"125,893"	2015년12월						
양배추	"3,390,733"	"1,155,364"	2015년12월						
수박	"82,747"	"262,041"	2015년12월						
양파	"146,285,385"	"57,397,697"	2015년12월						
배추	"16,200"	"11,151"	2016년01월						
양배추	"35,527.70"	"10,867"	2016년01월						
수박	"1,910"	"8,540"	2016년01월						
양파	"23,456,715.80"	"10,115,888"	2016년01월						
배추	120	43	2017년01월						
양배추	"2,575,667.20"	"1,255,333"	2017년01월						
수박	0	0	2017년01월						
양파	"6,524,900"	"2,258,222"	2017년01월						
배추	"16,201"	"11,164"	2016년02월						
양배추	"150,928.70"	"54,896"	2016년02월						
수박	"23,976"	"106,072"	2016년02월						
양파	"29,319,497.60"	"12,640,649"	2016년02월						
배추	120	43	2017년02월						
양배추	"3,865,745.80"	"1,806,472"	2017년02월						
수박	"15,703"	"75,632"	2017년02월						
양파	"17,314,354"	"5,867,575"	2017년02월						
배추	"16,201"	"11,164"	2016년03월						
양배추	"187,718.70"	"79,152"	2016년03월						
수박	"36,307"	"159,675"	2016년03월						
양파	"35,379,845.10"	"15,448,388"	2016년03월						
배추	"23,120"	"9,011"	2017년03월						
양배추	"7,271,909.30"	"2,912,718"	2017년03월						
수박	"31,323"	"148,201"	2017년03월						
양파	"31,873,507"	"10,531,269"	2017년03월						
배추	"16,201"	"11,164"	2016년04월						
양배추	"618,356.20"	"305,474"	2016년04월						
수박	"36,307"	"159,675"	2016년04월						
양파	"37,031,660.10"	"16,237,885"	2016년04월						
배추	"39,087"	"20,479"	2017년04월						
양배추	"8,331,558.30"	"3,197,757"	2017년04월						
수박	"31,323"	"148,201"	2017년04월						
양파	"41,181,715"	"13,840,997"	2017년04월						
배추	"73,951"	"25,092"	2016년05월						
양배추	"1,870,550.20"	"875,322"	2016년05월						
수박	"36,307"	"159,675"	2016년05월						
양파	"37,104,660.10"	"16,271,161"	2016년05월						
배추	"39,087"	"20,479"	2017년05월						
양배추	"8,583,789.30"	"3,269,274"	2017년05월						
수박	"31,323"	"148,201"	2017년05월						
양파	"41,858,515.25"	"14,092,441"	2017년05월						
배추	"73,951"	"25,092"	2016년06월						
양배추	"2,177,230.20"	"956,288"	2016년06월						
수박	"36,307"	"159,675"	2016년06월						
양파	"39,382,666.10"	"17,096,901"	2016년06월						
배추	"39,087"	"20,479"	2017년06월						
양배추	"8,631,819.30"	"3,278,330"	2017년06월						
수박	"41,864.50"	"172,965"	2017년06월						
양파	"45,866,515.25"	"15,188,367"	2017년06월						
배추	"73,951"	"25,092"	2016년07월						
양배추	"2,316,670.20"	"982,202"	2016년07월						
