,AGCODE,WEIGHT,PRICE,YEAR
35,24201조란-계,"514,085.83","1,441,084",2017년01월
0,총계,"32,378,858.3","23,435,148",2016년02월
1,1농산물-계,"32,297,434.3","23,049,843",2016년02월
2,111곡류-계,"17,767,988","17,457,341",2016년02월
3,11101쌀-계,"17,767,988","17,457,341",2016년02월
4,112서류-계,"92,676.4","257,337",2016년02월
5,11201감자-계,"92,676.4","257,337",2016년02월
6,11202고구마-계,0,0,2016년02월
7,116과실류-계,"24,933.2","34,640",2016년02월
8,11601사과-계,"24,933.2","34,640",2016년02월
9,121채소류-계,"14,411,836.7","5,300,525",2016년02월
10,12113시금치-계,30,564,2016년02월
11,12121무-계,"378,226","86,178",2016년02월
12,12123당근-계,"11,997,980.7","4,508,967",2016년02월
13,12132오이-계,"2,035,600","704,816",2016년02월
14,2축산물-계,"81,424","385,305",2016년02월
15,242난류-계,"81,424","385,305",2016년02월
16,24201조란-계,"81,424","385,305",2016년02월
17,총계,"34,259,183.1","22,479,090",2017년02월
18,1농산물-계,"33,356,991.95","20,112,085",2017년02월
19,111곡류-계,"18,892,078.15","13,843,796",2017년02월
20,11101쌀-계,"18,892,078.15","13,843,796",2017년02월
21,112서류-계,3.7,49,2017년02월
22,11201감자-계,3.7,49,2017년02월
23,11202고구마-계,0,0,2017년02월
24,116과실류-계,0,0,2017년02월
25,11601사과-계,0,0,2017년02월
26,121채소류-계,"14,464,910.1","6,268,240",2017년02월
27,12113시금치-계,0,0,2017년02월
28,12121무-계,"1,615,870","310,558",2017년02월
29,12123당근-계,"11,049,540","5,371,377",2017년02월
30,12132오이-계,"1,799,500.1","586,305",2017년02월
31,2축산물-계,"902,191.15","2,367,005",2017년02월
32,242난류-계,"902,191.15","2,367,005",2017년02월
33,24201조란-계,"902,191.15","2,367,005",2017년02월
0,총계,"46,213,278.2","30,294,798",2016년03월
1,1농산물-계,"46,116,246.2","29,738,232",2016년03월
2,111곡류-계,"18,860,803.6","18,548,185",2016년03월
